Time,200-A-Real,200-B-Real,200-C-Real,200-A-Reactive,200-B-Reactive,200-C-Reactive,100-A-Real,100-B-Real,100-C-Real,100-A-Reactive,100-B-Reactive,100-C-Reactive,5-A-Real,5-B-Real,5-C-Real,5-A-Reactive,5-B-Reactive,5-C-Reactive
Time,Refrigerator Real,Microwave-Real,Phone charger Real,Refrigerator Reactive,Microwave-Reactive,Phone charger Reactive,Dishwasher-Real,Disposal-Real,Laptop Charging-Real,Dishwasher-Reactive,Disposal-Reactive,Laptop Charging -Reactive,5-A-Real,5-B-Real,5-C-Real,5-A-Reactive,5-B-Reactive,5-C-Reactive
 15:31:49.409033,83.64044952,0,0,0,0,-0.308213592,0,0,43.49170685,0,0,-16.1384697,"
",,,,,
 15:31:50.492507,83.55643463,0,0,0,0,-0.306087971,0,0,43.59168625,0,0,-16.37464523,"
",,,,,
 15:31:51.569665,83.51441956,-73.16474152,0,0,110.1726456,-0.450629532,0,0,45.28025436,0,0,-16.2509346,"
",,,,,
 15:31:52.647077,83.38838196,-195.600708,0,0,259.7289429,-0.2928029,0,0,43.82497406,0,0,-16.27342606,"
",,,,,
 15:31:53.741627,83.59843445,-138.5949249,0,0,556.302063,-0.441064268,0,0,45.16916275,0,0,-16.2509346,"
",,,,,
 15:31:54.813076,83.53542328,-25.92122269,0,0,884.21698,-0.2928029,0,0,43.99161148,0,0,-15.80108166,"
",,,,,
 15:31:55.896456,83.57743073,86.79429626,0,0,1212.555054,-0.440532863,0,0,45.35801697,0,0,-16.04850197,"
",,,,,
 15:31:56.991741,83.70345306,272.7372437,0,0,1429.831787,-0.295991331,0,0,44.18045807,0,0,-15.78983593,"
",,,,,
 15:31:58.68750,83.72446442,508.0350647,0,0,1608.44458,-0.434687436,0,0,45.14694595,0,0,-16.32965851,"
",,,,,
 15:31:59.153354,83.70345306,563.4102783,0,0,1639.553467,-0.286426067,0,0,44.14713669,0,0,-15.81232738,"
",,,,,
 15:32:0.229274,85.8669281,563.1385498,0,0,1640.421143,-0.418213934,0,0,44.83589172,0,0,-16.72327995,"
",,,,,
 15:32:1.316560,94.68888855,562.9085693,0,0,1639.786377,-0.270484,0,0,43.92495346,0,0,-16.01476288,"
",,,,,
 15:32:2.401267,103.5528412,562.1560669,0,0,1640.759766,-0.401740462,0,0,44.64704132,0,0,-15.78983498,"
",,,,,
 15:32:3.480015,112.6478424,562.0515747,0,0,1641.098389,-0.390049607,0,0,44.59149933,0,0,-16.58832359,"
",,,,,
 15:32:4.566963,128.7163849,564.24646,0,0,1639.426514,-0.25826174,0,0,44.15824509,0,0,-15.58740234,"
",,,,,
 15:32:5.656308,128.9894409,565.2498779,0,0,1638.114502,-0.3863298,0,0,44.55817032,0,0,-16.50960159,"
",,,,,
 15:32:6.741017,128.8844299,567.2775879,0,0,1635.934692,-0.255073309,0,0,44.09159088,0,0,-15.53117085,"
",,,,,
 15:32:7.822652,128.8634186,567.9046631,0,0,1634.220459,-0.379421562,0,0,44.63593292,0,0,-16.48710823,"
",,,,,
 15:32:8.907517,128.7163849,568.5945435,0,0,1632.654541,-0.252416313,0,0,44.3026619,0,0,-15.41870689,"
",,,,,
 15:32:9.982139,128.8214111,567.84198,0,0,1631.998535,-0.385798395,0,0,44.71369171,0,0,-16.44212151,"
",,,,,
 15:32:11.73520,123.7592926,568.6572266,0,0,1631.744507,-0.378358781,0,0,44.51373291,0,0,-15.35122967,"
",,,,,
 15:32:12.156817,115.4204559,567.7374268,0,0,1632.464111,-0.502707005,0,0,44.90254593,0,0,-16.41962814,"
",,,,,
