Time,200-A-Real,200-B-Real,200-C-Real,200-A-Reactive,200-B-Reactive,200-C-Reactive,100-A-Real,100-B-Real,100-C-Real,100-A-Reactive,100-B-Reactive,100-C-Reactive
Time,Grid Power-A-Real,Grid Power-B-Real,N/A,Grid Power-A-Reactive,Grid Power-B-Reactive,N/A,AHU-A-Real,AHU/RTU-B-Real,RTU-A-Real,AHU-A-Reactive,AHU/RTU-B-Reactive,RTU-Reactive
 18:46:31.39353,"
"
 18:46:32.70051,72.8949432373,557.5201416016,0.0000000000,-216.0821838379,802.1766357422,0.0000000000,67.9838638306,77.6156158447,0.0000000000,-46.9970245361,35.0158195496,0.0000000000,"
"
 18:46:33.107061,72.9607315063,558.3674926758,0.0000000000,-215.9267578125,802.3389282227,0.0000000000,67.8895263672,77.5047149658,0.0000000000,-47.0288581848,35.1505355835,0.0000000000,"
"
 18:46:34.140369,72.9168701172,557.3370361328,0.0000000000,-215.7713623047,801.9448242188,0.0000000000,67.8580780029,77.5823516846,0.0000000000,-46.2966842651,35.5659255981,0.0000000000,"
"
 18:46:35.172404,73.0265197754,558.0469360352,0.0000000000,-215.7491455078,801.8752441406,0.0000000000,67.9000091553,77.6156158447,0.0000000000,-47.0076370239,35.1617660522,0.0000000000,"
"
 18:46:36.207196,72.8949432373,557.2683105469,0.0000000000,-215.8157501221,801.9679565430,0.0000000000,67.9104843140,77.6821517944,0.0000000000,-46.3391304016,35.5996017456,0.0000000000,"
"
 18:46:37.240513,73.0265197754,558.0010986328,0.0000000000,-215.6825408936,801.4579467773,0.0000000000,68.0991592407,77.8152236938,0.0000000000,-47.1243553162,35.2515792847,0.0000000000,"
"
 18:46:38.273919,72.9168701172,557.8637084961,0.0000000000,-215.7269592285,802.0607299805,0.0000000000,68.0467453003,77.8928451538,0.0000000000,-46.2542419434,35.6669616699,0.0000000000,"
"
 18:46:39.305655,72.8949432373,558.4819946289,0.0000000000,-215.8823547363,801.9448852539,0.0000000000,68.1410827637,77.8706665039,0.0000000000,-46.9439659119,35.1280899048,0.0000000000,"
"
 18:46:40.340583,72.8949432373,557.5889282227,0.0000000000,-215.6825408936,801.6434326172,0.0000000000,68.0572357178,77.8817596436,0.0000000000,-46.2436294556,35.4873390198,0.0000000000,"
"
 18:46:41.371157,73.0265197754,558.2529907227,0.0000000000,-215.7047576904,801.3884887695,0.0000000000,68.1201248169,77.8928451538,0.0000000000,-46.9227485657,35.0719528198,0.0000000000,"
"
 18:46:42.407151,73.1142425537,557.7950439453,0.0000000000,-215.8379364014,801.8057861328,0.0000000000,68.0677108765,77.9372100830,0.0000000000,-46.3072967529,35.5322456360,0.0000000000,"
"
 18:46:43.439640,73.3116073608,558.7338867188,0.0000000000,-215.9711608887,801.4348144531,0.0000000000,68.2983093262,78.0591888428,0.0000000000,-47.1668014526,35.1393127441,0.0000000000,"
"
 18:46:44.471113,73.3116073608,557.4514770508,0.0000000000,-215.9933624268,800.6466064453,0.0000000000,68.2459030151,78.1146392822,0.0000000000,-46.5195198059,35.8016853333,0.0000000000,"
"
 18:46:45.506712,73.3335418701,559.0315551758,0.0000000000,-216.3263854980,801.3652343750,0.0000000000,68.5813140869,78.2144393921,0.0000000000,-47.1561965942,35.4424324036,0.0000000000,"
"
 18:46:46.537935,73.3335418701,558.4361572266,0.0000000000,-216.2819824219,801.0638427734,0.0000000000,68.5079421997,78.4029693604,0.0000000000,-46.7211380005,36.0149917603,0.0000000000,"
"
 18:46:47.571568,73.4431915283,559.4895629883,0.0000000000,-216.4817810059,801.0174560547,0.0000000000,68.6232376099,78.5138626099,0.0000000000,-47.5063629150,35.5659255981,0.0000000000,"
"
 18:46:48.607672,73.4431915283,558.9857177734,0.0000000000,-216.4595947266,801.4116210938,0.0000000000,68.4764938354,78.4805908203,0.0000000000,-46.8378601074,35.9813117981,0.0000000000,"
"
 18:46:49.641640,73.5528411865,559.9017333984,0.0000000000,-216.5261993408,801.4580078125,0.0000000000,68.6966094971,78.5027694702,0.0000000000,-47.4745330811,35.4087524414,0.0000000000,"
"
 18:46:50.675818,73.6186294556,559.2605590820,0.0000000000,-216.5261993408,801.1798095703,0.0000000000,68.5289077759,78.5249481201,0.0000000000,-46.9970283508,35.9700813293,0.0000000000,"
"
 18:46:51.708932,73.7282791138,559.6727294922,0.0000000000,-216.4373779297,800.9710693359,0.0000000000,68.7490234375,78.4029693604,0.0000000000,-47.4957504272,35.4985656738,0.0000000000,"
"
 18:46:52.740043,73.8159942627,558.7110595703,0.0000000000,-216.2597961426,800.8551635742,0.0000000000,68.4555358887,78.3696899414,0.0000000000,-46.8803024292,35.9251785278,0.0000000000,"
"
 18:46:53.775993,73.8379287720,558.9400024414,0.0000000000,-216.0377655029,804.3327026367,0.0000000000,68.5917968750,78.3586044312,0.0000000000,-47.5594215393,35.3526191711,0.0000000000,"
"
 18:46:54.808068,73.7282791138,566.2450561523,0.0000000000,-216.0599670410,811.1483764648,0.0000000000,68.2668609619,78.3031616211,0.0000000000,-46.9333572388,35.8016853333,0.0000000000,"
"
 18:46:55.841630,73.7721405029,567.8709716797,0.0000000000,-216.2153778076,814.3940429688,0.0000000000,68.4555358887,78.2255401611,0.0000000000,-47.4002532959,35.1393127441,0.0000000000,"
"
 18:46:56.874846,73.6624908447,568.4434814453,0.0000000000,-216.1931610107,814.3245239258,0.0000000000,68.3087921143,78.3586044312,0.0000000000,-46.8696899414,35.6669616699,0.0000000000,"
