Time,200-A-Real,200-B-Real,200-A-Reactive,200-B-Reactive,100-A-Real,100-B-Real,100-C-Real,100-A-Reactive,100-B-Reactive,100-C-Reactive,5-A-Real,5-B-Real,5-C-Real,5-A-Reactive,5-B-Reactive,5-C-Reactive
 14:45:30.276827,Main A Real,Main B Real,Main A Reactive,Main B Reactive,AHU A Real,AHU-B RTU-B Real,RTU A Real,AHU A Reactive,AHU-B RTU-B Reactive,RTU A Reactive,,,,,,
 14:46:12.391130,47.91679764,40.44116974,-240.6142578,77.61653137,0,0,0,0,0,0,"
",,,,,
 14:46:13.465899,48.09223938,34.80780029,-240.6586609,82.76315308,0,0,0,0,0,0,"
",,,,,
 14:46:14.547626,47.98258591,34.92229843,-240.747467,82.64723206,0,0,0,0,0,0,"
",,,,,
 14:46:15.629909,47.89486694,34.87649918,-240.747467,81.58082581,0,0,0,0,0,0,"
",,,,,
 14:46:16.699156,48.09223938,34.76200104,-240.9472656,82.80952454,0,0,0,0,0,0,"
",,,,,
 14:46:17.779533,47.98259354,34.94519806,-240.9250793,81.83583069,0,0,0,0,0,0,"
",,,,,
 14:46:18.864039,48.17995453,34.64749908,-240.8140564,82.87906647,0,0,0,0,0,0,"
",,,,,
 14:46:19.947739,47.96065903,34.85359955,-240.6586609,81.95175171,0,0,0,0,0,0,"
",,,,,
 14:46:21.27606,48.22382355,34.60169983,-240.7696838,82.97180176,0,0,0,0,0,0,"
",,,,,
 14:46:22.99967,47.89487457,34.87649918,-240.4366455,81.95174408,0,0,0,0,0,0,"
",,,,,
 14:46:23.177007,47.98258972,34.67039871,-240.4810486,82.92543793,0,0,0,0,0,0,"
",,,,,
 14:46:24.264063,47.87294388,34.7390976,-240.3256378,81.76628876,0,0,0,0,0,0,"
",,,,,
 14:46:25.334402,48.17996216,34.48720169,-240.3700409,82.73997498,0,0,0,0,0,0,"
",,,,,
 14:46:26.418227,48.0045166,34.71619797,-240.4588318,81.58082581,0,0,0,0,0,0,"
",,,,,
 14:46:27.509513,48.289608,34.51010132,-240.7696838,82.78633118,0,0,0,0,0,0,"
",,,,,
 14:46:28.580853,48.31153488,34.53300095,-240.8584747,83.18044281,0,0,0,0,0,0,"
",,,,,
 14:46:29.668147,48.20188904,34.71619415,-240.8140564,82.11402893,0,0,0,0,0,0,"
",,,,,
 14:46:30.741580,48.44311523,34.46430206,-240.7918396,83.11089325,0,0,0,0,0,0,"
",,,,,
 14:46:31.821451,48.24574661,34.51010132,-240.6808624,81.99812317,0,0,0,0,0,0,"
",,,,,
 14:46:32.900077,48.59662628,34.07500458,-240.8140564,83.01816559,0,0,0,0,0,0,"
",,,,,
 14:46:33.989338,48.5308342,34.67039871,-240.747467,82.04447937,0,0,0,0,0,0,"
",,,,,
 14:46:35.61794,48.77206802,34.46430206,-241.0582733,82.94862366,0,0,0,0,0,0,"
",,,,,
 14:46:36.145182,48.5308342,34.69329834,-241.0804749,81.85901642,0,0,0,0,0,0,"
",,,,,
 14:46:37.218729,48.7939949,34.53300095,-241.3690948,82.83269501,0,0,0,0,0,0,"
",,,,,
 14:46:38.295912,48.68434525,34.99099731,-241.7243195,81.83583069,0,0,0,0,0,0,"
",,,,,
 14:46:39.384143,48.90364456,34.69330215,-242.0129089,82.73996735,0,0,0,0,0,0,"
",,,,,
 14:46:40.466899,48.85978317,34.94519806,-242.1905212,81.88220215,0,0,0,0,0,0,"
",,,,,
 14:46:41.544889,49.21066666,34.85359955,-242.6123505,82.20676422,0,0,0,0,0,0,"
",,,,,
 14:46:42.626997,49.49575043,34.92229462,-242.8565674,83.13407898,0,0,0,0,0,0,"
",,,,,
 14:46:43.703751,49.62732697,35.15129852,-242.9009552,82.34585571,0,0,0,0,0,0,"
",,,,,
 14:46:44.782336,49.95627594,34.76200104,-243.1007538,83.20362854,0,0,0,0,0,0,"
",,,,,
 14:46:45.861953,49.95627594,34.87649536,-243.1673584,82.16040039,0,0,0,0,0,0,"
",,,,,
 14:46:46.947941,50.3290863,34.48720169,-243.6557922,82.92543793,0,0,0,0,0,0,"
",,,,,
 14:46:48.25083,54.03524017,36.54819107,-250.3605042,84.1309433,0,0,0,0,0,0,"
",,,,,
 14:46:49.95782,58.64051437,39.63967133,-258.4416504,89.76439667,0,0,0,0,0,0,"
",,,,,
 14:46:50.187567,62.87298584,43.37234879,-266.1231995,93.84460449,0,0,0,0,0,0,"
",,,,,
 14:46:51.261232,63.33350754,46.46382904,-266.4339905,99.77944183,0,0,0,0,0,0,"
",,,,,
 14:46:52.346166,63.28964996,49.87591171,-266.4118042,103.859642,0,0,0,0,0,0,"
",,,,,
 14:46:53.420612,59.95631027,49.7843132,-260.1733398,105.6911011,0,0,0,0,0,0,"
",,,,,
 14:46:54.501225,55.59226227,46.64702988,-252.3807831,100.0112762,0,0,0,0,0,0,"
",,,,,
 14:46:55.584539,51.38172531,39.89157104,-245.121048,89.7412262,0,0,0,0,0,0,"
",,,,,
 14:46:56.652164,51.55716705,36.63978958,-245.2542725,85.77693176,0,0,0,0,0,0,"
",,,,,
 14:46:57.732258,51.55715942,34.94519806,-245.2098694,81.7199173,0,0,0,0,0,0,"
",,,,,
 14:46:58.810802,51.62294769,34.60169983,-245.6316681,82.53132629,0,0,0,0,0,0,"
",,,,,
 14:46:59.895781,51.53522873,34.64749908,-245.5428772,81.37217712,0,0,0,0,0,0,"
",,,,,
 14:47:0.974240,51.64487839,34.48720169,-245.6316833,82.62404633,0,0,0,0,0,0,"
",,,,,
 14:47:2.60731,51.57909012,34.41849899,-245.6316833,81.39536285,0,0,0,0,0,0,"
",,,,,
 14:47:3.136610,51.53522873,34.16660309,-245.8536835,82.22994232,0,0,0,0,0,0,"
",,,,,
 14:47:4.210100,51.53522873,34.46430206,-245.5872803,81.14035034,0,0,0,0,0,0,"
",,,,,
 14:47:5.291595,51.62294769,34.39559937,-245.6760712,82.53132629,0,0,0,0,0,0,"
",,,,,
 14:47:6.374426,51.60102081,34.60169983,-245.2764587,81.60400391,0,0,0,0,0,0,"
",,,,,
 14:47:7.460182,51.60102463,34.60169983,-245.2098694,82.67041779,0,0,0,0,0,0,"
",,,,,
 14:47:8.538839,51.40364838,39.36487198,-250.8489075,72.88721466,0,0,0,0,0,0,"
",,,,,
 14:47:9.621673,58.79401779,56.05887985,-258.641449,65.6309433,0,0,0,0,0,0,"
",,,,,
 14:47:10.697320,63.09227753,64.46312714,-266.744812,60.20613861,0,0,0,0,0,0,"
",,,,,
